dataset,eps,run_dir_baseline,run_dir_topology_only,run_dir_combined,auc_G_baseline,auc_T_topology_only,auc_G,auc_T,auc_GT,delta_auc_topo,auc_T_resid,topo_feature_count_GT,n_test_clean_G,n_test_adv_G
blobs,0.1,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/blobs/baseline/base_torus_one_hole_e_0.1/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/blobs/topology_only/base_torus_one_hole_e_0.1/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/blobs/base_torus_one_hole_e_0.1/runs/trials/trial_000004,0.893954802259887,0.8259322033898305,0.893954802259887,0.8259322033898305,0.9054237288135593,0.011468926553672265,0.5693785310734463,15,295,60
blobs,0.2,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/blobs/baseline/base_torus_one_hole_e_0.2/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/blobs/topology_only/base_torus_one_hole_e_0.2/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/blobs/base_torus_one_hole_e_0.2/runs/trials/trial_000004,0.9221366204417052,0.8045197740112995,0.9221366204417052,0.8045197740112995,0.9257318952234206,0.0035952747817153963,0.5382639958911146,15,295,33
blobs,0.3,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/blobs/baseline/base_torus_one_hole_e_0.3_copy/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/blobs/topology_only/base_torus_one_hole_e_0.3_copy/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/blobs/base_torus_one_hole_e_0.3_copy/runs/trials/trial_000004,0.893954802259887,0.8259322033898305,0.893954802259887,0.8259322033898305,0.9054237288135593,0.011468926553672265,0.5693785310734463,15,295,60
mnist,0.1,,,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/mnist/base_e_0.1/runs/trials/trial_000012,nan,nan,0.9668625000000001,0.9611125,0.97184375,0.004981249999999937,0.6010562500000001,10,400,400
mnist,0.2,,,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/mnist/base_e_0.2/runs/trials/trial_000012,nan,nan,0.9668625000000001,0.9611125,0.97184375,0.004981249999999937,0.6010562500000001,10,400,400
mnist,0.3,,,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/mnist/base_e_0.3/runs/trials/trial_000013,nan,nan,0.98134375,0.9740624999999999,0.98074375,-0.0005999999999999339,0.54214375,10,400,400
nested_spheres,0.1,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/nested_spheres/baseline/base_torus_one_hole_e_0.1/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/nested_spheres/topology_only/base_torus_one_hole_e_0.1/runs/trials/trial_000005,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/nested_spheres/base_torus_one_hole_e_0.1/runs/trials/trial_000005,0.6466732218944609,0.5910133786239979,0.645749530705283,0.5910133786239979,0.6675605613658712,0.021811030660588204,0.591996662793123,15,297,113
nested_spheres,0.2,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/nested_spheres/baseline/base_torus_one_hole_e_0.2/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/nested_spheres/topology_only/base_torus_one_hole_e_0.2/runs/trials/trial_000009,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/nested_spheres/base_torus_one_hole_e_0.2/runs/trials/trial_000009,0.7604313173933428,0.5313046072539743,0.7271448663853728,0.5313046072539743,0.6904061714188298,-0.03673869496654303,0.5266163747176406,15,297,79
nested_spheres,0.3,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/nested_spheres/baseline/base_torus_one_hole_e_0.3_copy/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/nested_spheres/topology_only/base_torus_one_hole_e_0.3_copy/runs/trials/trial_000005,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/nested_spheres/base_torus_one_hole_e_0.3_copy/runs/trials/trial_000005,0.6466732218944609,0.5910133786239979,0.645749530705283,0.5910133786239979,0.6675605613658712,0.021811030660588204,0.591996662793123,15,297,113
synthetic_shapes,0.1,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/synthetic_shapes/baseline/base_e_0.1/runs/trials/trial_000010,,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/synthetic_shapes/base_e_0.1/runs/trials/trial_000006,0.9718,nan,0.9706,0.97365,0.9796750000000001,0.009075000000000055,0.6237999999999999,10,200,200
synthetic_shapes,0.2,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/synthetic_shapes/baseline/base_e_0.2/runs/trials/trial_000004,,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/synthetic_shapes/base_e_0.2/runs/trials/trial_000006,0.996975,nan,0.996525,0.997825,0.9986999999999999,0.002174999999999927,0.5927,10,200,200
synthetic_shapes,0.3,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/synthetic_shapes/baseline/base_e_0.3/runs/trials/trial_000004,,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/synthetic_shapes/base_e_0.3/runs/trials/trial_000006,0.9749,nan,0.97385,0.969175,0.975325,0.001475000000000004,0.624425,10,200,200
tabular,0.1,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/tabular/baseline/base_e_0.1/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/tabular/topology_only/base_e_0.1/runs/trials/trial_000001,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/tabular/base_e_0.1/runs/trials/trial_000001,0.9792207792207792,0.9402597402597404,0.9831168831168831,0.9402597402597404,0.9805194805194805,-0.0025974025974025983,0.5415584415584416,10,110,7
tabular,0.2,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/tabular/baseline/base_e_0.2/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/tabular/topology_only/base_e_0.2/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/tabular/base_e_0.2/runs/trials/trial_000004,0.9551948051948053,0.8824675324675325,0.9551948051948053,0.8824675324675325,0.9603896103896105,0.0051948051948051965,0.7227272727272728,10,110,14
tabular,0.3,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/tabular/baseline/base_e_0.3/runs/trials/trial_000004,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/tabular/topology_only/base_e_0.3/runs/trials/trial_000002,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/tabular/base_e_0.3/runs/trials/trial_000002,0.9392045454545455,0.6960227272727273,0.8352272727272727,0.6960227272727273,0.8573863636363637,0.02215909090909096,0.6875000000000001,10,110,16
torus_one_hole,0.1,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_one_hole/baseline/base_torus_one_hole_e_0.1/runs/trials/trial_000003,,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_one_hole/base_torus_one_hole_e_0.1/runs/trials/trial_000004,1.0,nan,0.9965277777777778,0.9951388888888888,0.9993055555555556,0.002777777777777768,0.6951388888888888,15,240,6
torus_one_hole,0.3,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_one_hole/baseline/base_torus_one_hole_e_0.3_copy/runs/trials/trial_000003,,/Users/svenhockers/Desktop/project/topology-and-robustness-in-DNNs/out/torus_one_hole/base_torus_one_hole_e_0.3_copy/runs/trials/trial_000004,1.0,nan,0.9965277777777778,0.9951388888888888,0.9993055555555556,0.002777777777777768,0.6951388888888888,15,240,6
